ST,County,StateFIPS,CountyFIPS,S_C_Rate,Population,S_Homicide_Rate,S_Suicide_Rate
LA,LAFAYETTE,22,55,15.03132771,1574449,4.89032922,9.085716918
LA,LAFOURCHE,22,57,18.91371961,677479,10.54803594,7.80190934
LA,LA SALLE,22,59,15.61503199,103734,5.050214808,9.810187386
LA,LINCOLN,22,61,13.85195473,328077,4.318860411,8.74305888
LA,LIVINGSTON,22,63,19.60144938,910331,10.76418576,7.92363674
LA,MADISON,22,65,19.68638836,84410,7.47584368,10.59077855
LA,MOREHOUSE,22,67,17.01386883,193145,5.915873527,10.22666509
LA,NATCHITOCHES,22,69,14.64338241,275519,4.994973008,8.36764709
LA,ORLEANS,22,71,26.76450463,2467844,19.23040195,7.007242354
LA,OUACHITA,22,73,14.88217006,1080981,4.928821595,8.948443091
LA,PLAQUEMINES,22,75,31.04442234,163056,23.88162131,6.556069648
LA,POINTE COUPEE,22,77,16.79727438,159003,5.194532827,10.53470676
LA,RAPIDES,22,79,15.4166833,922699,4.585475033,9.842959339
LA,RED RIVER,22,81,15.77305531,63014,6.654257708,8.225401889
LA,RICHLAND,22,83,16.55942595,145587,5.987284303,9.277593694
LA,SABINE,22,85,16.22663346,169751,4.667935654,10.07681347
LA,ST BERNARD,22,87,40.76166678,266430,34.68710848,5.487811192
LA,ST CHARLES,22,89,19.55541487,368226,10.78591462,8.10370305
LA,ST HELENA,22,91,20.20573072,76979,11.360885,7.954554912
LA,ST JAMES,22,93,14.43028513,153306,6.060719754,7.696152068
LA,ST JOHN THE BAPTIST,22,95,18.37943332,316270,9.168558446,8.491495668
LA,ST LANDRY,22,97,16.11352251,585726,4.466843824,10.63273254
LA,ST MARTIN,22,99,14.85871773,367939,4.701489366,9.025853917
LA,ST MARY,22,101,14.35262637,377910,4.935130204,8.466691267
LA,ST TAMMANY,22,103,25.3913814,1658712,17.08227835,7.712438738
LA,TANGIPAHOA,22,105,18.30624698,858778,8.9071057,8.755710136
LA,TENSAS,22,107,20.06728544,35743,7.975459597,10.20515798
LA,TERREBONNE,22,109,13.88154449,784317,4.643826033,8.588581481
LA,UNION,22,111,16.21176008,158309,5.432664282,9.873651751
LA,VERMILION,22,113,14.53185398,408936,4.875202626,8.594107193
LA,VERNON,22,115,14.50207694,362714,5.172996956,8.046884154
LA,WASHINGTON,22,117,15.54161885,327928,5.486821521,9.267215296
LA,WEBSTER,22,119,15.002477,286811,3.319697039,10.98053636
LA,WEST BATON ROUGE,22,121,20.92617829,168179,13.25837522,6.872813458
LA,WEST CARROLL,22,123,16.76128683,80932,7.028926737,7.93007119
LA,WEST FELICIANA,22,125,16.75085281,108829,5.367676592,10.45771474
LA,WINN,22,127,13.85591794,105821,3.89697692,8.984696788
ME,ANDROSCOGGIN,23,1,8.260186909,753506,0.987631043,7.092986585
ME,AROOSTOOK,23,3,11.89649351,498230,1.662010123,10.14700917
ME,CUMBERLAND,23,5,8.622226761,1984688,1.234736357,7.240996261
ME,FRANKLIN,23,7,9.935684805,214342,0.927846052,8.853197744
ME,HANCOCK,23,9,11.75059915,381842,1.941403338,9.707016691
ME,KENNEBEC,23,11,9.787598908,851863,0.849617961,8.870011511
ME,KNOX,23,13,11.37814637,278441,,10.36675558
ME,LINCOLN,23,15,9.736155478,240656,,8.995361039
ME,OXFORD,23,17,9.232392509,403696,1.262388363,7.762746354
ME,PENOBSCOT,23,19,11.80222732,1075369,1.700609124,9.965569468
ME,PISCATAQUIS,23,21,11.22369901,121317,1.603385573,9.523138554
ME,SAGADAHOC,23,23,7.994657803,247010,0.858322157,7.038241685
ME,SOMERSET,23,25,10.71772544,363229,1.383882131,9.216066106
ME,WALDO,23,27,10.51022827,271893,1.2415929,9.210886864
ME,WASHINGTON,23,29,11.44854292,228243,1.740178524,9.52518771
ME,YORK,23,31,8.475420477,1389448,1.184952152,7.069545043
MD,ALLEGANY,24,1,9.899182531,519719,1.14102727,8.511446662
MD,ANNE ARUNDEL,24,3,12.57071746,3807527,8.589401746,3.901865953
MD,BALTIMORE,24,5,12.20880814,5687857,7.234679788,4.873456024
MD,CALVERT,24,9,9.571026898,624795,5.012238283,4.485912776
MD,CAROLINE,24,11,8.595776295,229789,2.155853862,6.384644129
MD,CARROLL,24,13,8.441816489,1171369,2.762776306,5.609273105
MD,CECIL,24,15,7.781947902,710013,2.662827671,5.02322893
MD,CHARLES,24,17,7.567576864,1042818,3.282559315,4.171995297
MD,DORCHESTER,24,19,8.752413752,227944,2.422543092,6.251724108
MD,FREDERICK,24,21,5.29743907,1655708,1.142352783,4.107734877
MD,GARRETT,24,23,10.62858783,210101,1.460974273,8.875418706
MD,HARFORD,24,25,8.626461157,1726231,2.790121031,5.735248785
MD,HOWARD,24,27,7.313305813,2056293,3.459784255,3.813418684
MD,KENT,24,29,10.12779255,140348,4.738243782,5.340700895
MD,MONTGOMERY,24,31,7.075827111,6923037,3.97535623,3.051354511
MD,PRINCE GEORGES,24,33,7.405270994,6127665,4.111725397,3.231066412
MD,QUEEN ANNES,24,35,7.949970693,336719,2.022773608,5.833114592
MD,ST MARYS,24,37,9.415305704,746967,2.096525562,7.204424203
MD,SOMERSET,24,39,10.31036925,183872,3.595062961,6.579643533
MD,TALBOT,24,41,7.343195687,264193,,5.778252344
MD,WASHINGTON,24,43,7.469618592,1037872,1.164754086,6.178260802
MD,WICOMICO,24,45,9.152104497,696895,2.33152472,6.750982024
MD,WORCESTER,24,47,9.691167838,360279,2.778829488,6.842867613
MD,BALTIMORE CITY,24,510,14.70346732,4351690,10.31986974,4.27527144
MA,BARNSTABLE,25,1,3.883954643,1508878,1.201223085,2.622670403
MA,BERKSHIRE,25,3,5.265540096,912864,1.500542514,3.628584626
MA,BRISTOL,25,5,3.476690799,3848316,1.436649091,1.971082552
MA,DUKES,25,7,,117061,,
MA,ESSEX,25,9,4.12753768,5258103,1.76344427,2.260134905
MA,FRANKLIN,25,11,4.33421066,499520,0.756595377,3.393870691
MA,HAMPDEN,25,13,4.843566113,3256397,1.836156531,2.874428886
MA,HAMPSHIRE,25,15,4.016400947,1115977,1.28033742,2.586983143
MA,MIDDLESEX,25,17,3.596829512,10667207,1.518142326,1.976504529
MA,NANTUCKET,25,19,,72481,,
MA,NORFOLK,25,21,3.515702928,4740509,1.716971197,1.711696324
MA,PLYMOUTH,25,23,3.209721274,3486031,1.141070636,2.017118415
MA,SUFFOLK,25,25,3.198998752,5154760,1.773778969,1.336143547
MA,WORCESTER,25,27,3.663504779,5618486,1.069225665,2.507052809
MI,ALCONA,26,1,15.53178817,75733,,13.50590275
MI,ALGER,26,3,8.769855675,66601,,8.103790687
MI,ALLEGAN,26,5,6.496950837,784072,1.606104274,4.818312822
MI,ALPENA,26,7,15.52655937,206137,,13.93409175
MI,ANTRIM,26,9,9.604501408,164744,,8.939574388
MI,ARENAC,26,11,10.19700616,110639,,8.667455235
MI,BARAGA,26,13,9.646579197,61417,,8.498176911
MI,BARRY,26,15,7.754938827,414886,1.978626367,5.638021369
MI,BAY,26,17,10.77686515,751680,4.081700971,6.518975652
MI,BENZIE,26,19,8.113182763,122567,,7.185961876
MI,BERRIEN,26,21,9.916620623,1094407,2.845638961,6.855402952
MI,BRANCH,26,23,8.887522455,311590,1.912800108,6.788107702
MI,CALHOUN,26,25,9.529267359,949510,1.892686954,7.389708194
MI,CASS,26,27,8.428553847,365149,2.576882705,5.704037237
MI,CHARLEVOIX,26,29,11.40962714,182578,,10.6561612
MI,CHEBOYGAN,26,31,12.33158996,182244,,11.1416997
MI,CHIPPEWA,26,33,12.38781444,271834,,11.37656428
MI,CLARE,26,35,8.902679255,215782,,8.134427745
MI,CLINTON,26,37,7.734204153,531519,1.720961657,5.851269634
MI,CRAWFORD,26,39,13.92125631,98270,,12.56528979
MI,DELTA,26,41,8.214259172,258680,,7.627526374
MI,DICKINSON,26,43,10.75813033,183473,,9.372613549
MI,EATON,26,45,8.714876827,755858,2.081887242,6.407048334
MI,EMMET,26,47,11.42691981,230264,,10.41866218
MI,GENESEE,26,49,10.59804119,2955153,4.42225028,6.022196113
MI,GLADWIN,26,51,8.585410526,179658,0.828416805,7.531061865
MI,GOGEBIC,26,53,18.47033318,113133,,16.85417903
MI,GRAND TRAVERSE,26,55,9.082080639,617914,,8.251040581
MI,GRATIOT,26,57,9.920348581,295413,3.185629178,6.499538725
MI,HILLSDALE,26,59,9.153050415,325186,1.687965141,7.156021233
MI,HOUGHTON,26,61,12.79584981,256281,,11.71145576
MI,HURON,26,63,9.836861123,229431,,8.853175011
MI,INGHAM,26,65,7.8029622,1974896,1.641873296,5.933502506
MI,IONIA,26,67,7.074620643,448961,1.660512537,5.30247701
MI,IOSCO,26,69,16.79121594,180314,,14.88705743
MI,IRON,26,71,11.64385157,82121,,10.34247992
MI,ISABELLA,26,73,8.259452963,491878,,7.399871885
MI,JACKSON,26,75,7.648566596,1120671,1.854515462,5.605456341
MI,KALAMAZOO,26,77,9.073616193,1769790,1.76431426,7.129269866
MI,KALKASKA,26,79,9.911648994,120816,,9.135435518
MI,KENT,26,81,6.960867048,4277384,1.747882915,5.110768758
MI,KEWEENAW,26,83,,15240,,
MI,LAKE,26,85,11.54210266,80417,1.375483737,9.987208001
MI,LAPEER,26,87,9.877132109,619625,3.65221841,6.103845685
MI,LEELANAU,26,89,6.945891505,152133,,6.385738964
MI,LENAWEE,26,91,8.425021027,697947,2.693789618,5.587119207
MI,LIVINGSTON,26,93,9.235297638,1278555,3.618446103,5.472966344
MI,LUCE,26,95,12.47976838,45884,,11.71178263
MI,MACKINAC,26,97,12.98867124,77832,,12.10808336
MI,MACOMB,26,99,14.50366352,5923894,8.675153269,5.682884176
MI,MANISTEE,26,101,9.766002368,172682,,8.64185821
MI,MARQUETTE,26,103,9.682934254,470956,,8.675909092
MI,MASON,26,105,12.26991356,200831,,10.5316758
MI,MECOSTA,26,107,9.192518372,301408,1.179788454,7.816098508
MI,MENOMINEE,26,109,9.474604053,167683,,8.381380508
MI,MIDLAND,26,111,10.04744285,585307,3.60480774,6.263673023
MI,MISSAUKEE,26,113,9.357962405,104886,,8.427978564
MI,MONROE,26,115,17.13595489,1059465,11.63298577,5.327395812
MI,MONTCALM,26,117,6.888805144,442441,1.641527906,5.121005861
MI,MONTMORENCY,26,119,13.65418569,67236,,12.49883152
MI,MUSKEGON,26,121,6.511413251,1203511,1.865843563,4.556719994
MI,NEWAYGO,26,123,7.895579296,338502,2.126802169,5.671472452
MI,OAKLAND,26,125,14.06592036,8504026,8.315646466,5.599027439
MI,OCEANA,26,127,10.65296185,185570,2.638350364,7.865270896
MI,OGEMAW,26,129,14.62452982,150661,,13.16207684
MI,ONTONAGON,26,131,13.46563149,46028,,12.05877447
MI,OSCEOLA,26,133,9.399657873,163835,,8.153294398
MI,OSCODA,26,135,14.43172943,60336,,12.81877144
MI,OTSEGO,26,137,13.39156752,169210,,12.14806482
MI,OTTAWA,26,139,6.315680311,1873507,1.781660788,4.460295628
MI,PRESQUE ISLE,26,141,12.39654355,92923,,11.485033
MI,ROSCOMMON,26,143,12.08572322,170063,,10.99528202
MI,SAGINAW,26,145,13.76951782,1391725,6.753481726,6.782654433
MI,ST CLAIR,26,147,9.062472777,1135375,2.168475505,6.768651866
MI,ST JOSEPH,26,149,8.400177119,428527,2.095885776,6.154585216
MI,SANILAC,26,151,9.813006053,299061,0.973809761,8.651925184
MI,SCHOOLCRAFT,26,153,10.83340391,58692,,10.43946195
MI,SHIAWASSEE,26,155,11.78611575,490011,5.730452093,5.853808205
MI,TUSCOLA,26,157,14.3220924,386434,7.040439106,7.07059088
MI,VAN BUREN,26,159,7.963021017,531042,1.648908392,6.173352152
MI,WASHTENAW,26,161,14.31536497,2441649,8.721061547,5.421395138
MI,WAYNE,26,163,13.85551289,12658069,8.277998737,5.433662678
MI,WEXFORD,26,165,9.677353318,228894,,8.560735628
MN,AITKIN,27,1,10.25294322,112392,0.776738122,9.13444032
MN,ANOKA,27,3,6.622470492,2338047,1.928874901,4.582539158
MN,BECKER,27,5,8.645482909,229473,,7.739101637
MN,BELTRAMI,27,7,11.40952422,314078,,10.07957968
MN,BENTON,27,9,8.032376395,271515,0.972340301,6.933209099
MN,BIG STONE,27,11,7.028869731,36522,,5.947505157
MN,BLUE EARTH,27,13,7.218131947,449971,,6.092368249
MN,BROWN,27,15,7.025607937,179463,,6.056558567
MN,CARLTON,27,17,10.10586109,247381,0.922709056,9.00739793
MN,CARVER,27,19,6.740822366,649779,1.977791757,4.62694402
MN,CASS,27,21,10.91064919,199638,1.33297524,9.182718322
MN,CHIPPEWA,27,23,7.795722649,85901,,7.207366222
MN,CHISAGO,27,25,7.087834556,375482,0.8142682,6.107011497
MN,CLAY,27,27,6.588271935,416508,,5.903776149
MN,CLEARWATER,27,29,9.777746392,60908,,8.329191371
MN,COOK,27,31,,36444,,
MN,COTTONWOOD,27,33,7.227345001,81704,,6.545520001
MN,CROW WING,27,35,9.791013396,438877,,7.987405665
MN,DAKOTA,27,37,6.378130178,2817817,1.8402653,4.42865032
MN,DODGE,27,39,6.363091798,140968,,5.795682338
MN,DOUGLAS,27,41,7.912293195,254250,,6.995625081
MN,FARIBAULT,27,43,6.178831648,101176,,5.203226651
MN,FILLMORE,27,45,6.099096822,146151,,5.633516911
MN,FREEBORN,27,47,5.852407681,217799,,5.312185433
MN,GOODHUE,27,49,5.930792043,323633,0.629312339,5.20612935
MN,GRANT,27,51,8.205294275,42041,,7.330062885
MN,HENNEPIN,27,53,6.506495202,8200590,1.725093747,4.656755953
MN,HOUSTON,27,55,7.620224812,132535,,6.989585518
MN,HUBBARD,27,57,10.72918203,143339,,9.100645475
MN,ISANTI,27,59,7.186237308,266550,0.657723415,6.333632882
MN,ITASCA,27,61,10.78858396,316460,0.984509562,9.557947002
MN,JACKSON,27,63,7.107077333,71936,,6.449014617
MN,KANABEC,27,65,8.841254088,113251,,8.124395649
MN,KANDIYOHI,27,67,7.013613964,295472,,6.150399938
MN,KITTSON,27,69,10.43514557,31691,,9.662171824
MN,KOOCHICHING,27,71,10.67885976,92408,,9.564543957
MN,LAC QUI PARLE,27,73,7.357754312,50151,,6.85032298
MN,LAKE,27,75,10.2974851,75703,,9.307342305
MN,LAKE OF THE WOODS,27,77,10.84341557,28056,,9.556908634
